# Data scraped on: 2025-05-22 19:48:23
Date,H/A/N,Opponent,Opp Rank,STL Line,STL Odds,Result,Diff
03/27,Home,Minnesota,12,+1.5,-172,W by 2,+3.5
03/29,Home,Minnesota,12,+1.5,-175,W by 4,+5.5
03/30,Home,Minnesota,12,+1.5,-172,W by 7,+8.5
03/31,Home,LA Angels,26,-1.5,+133,L by 1,-2.5
04/01,Home,LA Angels,26,-1.5,+145,L by 2,-3.5
04/02,Home,LA Angels,26,-1.5,+149,W by 7,+5.5
04/04,Away,Boston,9,+1.5,-196,L by 4,-2.5
04/06,Away,Boston,9,+1.5,-197,L by 1,+0.5
04/06,Away,Boston,9,+1.5,-177,L by 11,-9.5
04/07,Away,Pittsburgh,24,-1.5,+150,L by 4,-5.5
04/08,Away,Pittsburgh,24,+1.5,-190,W by 2,+3.5
04/09,Away,Pittsburgh,24,-1.5,+151,L by 1,-2.5
04/11,Home,Philadelphia,6,+1.5,-175,W by 2,+3.5
04/12,Home,Philadelphia,6,+1.5,-109,L by 3,-1.5
04/13,Home,Philadelphia,6,+1.5,-120,W by 7,+8.5
04/14,Home,Houston,11,+1.5,-177,W by 5,+6.5
04/15,Home,Houston,11,+1.5,-145,L by 2,-0.5
04/16,Home,Houston,11,+1.5,-171,W by 3,+4.5
04/17,Away,NY Mets,3,+1.5,-184,L by 3,-1.5
04/18,Away,NY Mets,3,+1.5,-118,L by 1,+0.5
04/19,Away,NY Mets,3,+1.5,-122,L by 3,-1.5
04/20,Away,NY Mets,3,+1.5,-179,L by 3,-1.5
04/21,Away,Atlanta,4,+1.5,-109,L by 1,+0.5
04/22,Away,Atlanta,4,+1.5,-166,W by 6,+7.5
04/23,Away,Atlanta,4,+1.5,-147,L by 3,-1.5
04/25,Home,Milwaukee,18,-1.5,+161,W by 1,-0.5
04/26,Home,Milwaukee,18,-1.5,+140,W by 1,-0.5
04/27,Home,Milwaukee,18,-1.5,+194,L by 6,-7.5
04/28,Away,Cincinnati,16,+1.5,-190,L by 2,-0.5
04/30,Away,Cincinnati,16,+1.5,-166,W by 6,+7.5
04/30,Away,Cincinnati,16,+1.5,-204,W by 8,+9.5
05/01,Away,Cincinnati,16,-1.5,+144,L by 8,-9.5
05/02,Home,NY Mets,3,+1.5,-166,L by 6,-4.5
05/04,Home,NY Mets,3,+1.5,-157,W by 1,+2.5
05/04,Home,NY Mets,3,+1.5,-119,W by 1,+2.5
05/05,Home,Pittsburgh,24,-1.5,+155,W by 3,+1.5
05/06,Home,Pittsburgh,24,+1.5,-175,W by 1,+2.5
05/07,Home,Pittsburgh,24,-1.5,+120,W by 5,+3.5
05/09,Away,Washington,25,+1.5,-225,W by 10,+11.5
05/10,Away,Washington,25,-1.5,+145,W by 2,+0.5
05/11,Away,Washington,25,+1.5,-171,W by 5,+6.5
05/12,Away,Philadelphia,6,+1.5,-138,W by 1,+2.5
05/14,Away,Philadelphia,6,+1.5,-132,L by 1,+0.5
05/14,Away,Philadelphia,6,+1.5,-192,W by 7,+8.5
05/16,Away,Kansas City,20,+1.5,-157,W by 7,+8.5
05/17,Away,Kansas City,20,+1.5,-201,W by 1,+2.5
05/18,Away,Kansas City,20,+1.5,-227,L by 1,+0.5
05/19,Home,Detroit,7,-1.5,+133,W by 7,+5.5
05/20,Home,Detroit,7,+1.5,-107,L by 1,+0.5
05/21,Home,Detroit,7,-1.5,+178,L by 4,-5.5
