# Data scraped on: 2025-05-22 19:48:32
Trend,Run Line Record,Cover %,MOV,Run Line +/-
4+ Days Off,1-0-0,100.0%,2.0,+3.5
1 Day Off,8-2-0,80.0%,2.5,+3.7
As Home Underdog,11-3-0,78.6%,1.5,+3.0
Second Game of Doubleheader,3-1-0,75.0%,1.3,+2.8
As Underdog,26-10-0,72.2%,1.1,+2.6
As Away Underdog,15-7-0,68.2%,0.9,+2.4
Non-Division Games,25-12-0,67.6%,0.9,+1.9
Non-League Games,12-6-0,66.7%,0.9,+1.6
With Equal Rest,30-17-0,63.8%,0.9,+1.5
After A Win,17-10-0,63.0%,1.0,+1.6
As Home Team,15-9-0,62.5%,1.3,+1.6
All Games,31-19-0,62.0%,0.8,+1.5
Regular Season Games,31-19-0,62.0%,0.8,+1.5
As Away Team,16-10-0,61.5%,0.3,+1.3
League Games,19-13-0,59.4%,0.8,+1.4
After A Loss,13-9-0,59.1%,0.5,+1.2
No Rest,19-16-0,54.3%,0.2,+0.6
Division Games,6-7-0,46.2%,0.5,+0.1
As Home Favorite,4-6-0,40.0%,1.1,-0.4
As Favorite,5-9-0,35.7%,0.0,-1.5
With Rest Advantage,1-2-0,33.3%,-0.3,+0.2
As Away Favorite,1-3-0,25.0%,-2.8,-4.3
