Player Name,Player ID
Scott Blewett,33816
Aaron Bummer,36131
Enyel De Los Santos,35026
Daysbel Hernandez,4722960
Grant Holmes,33840
Raisel Iglesias,33618
Pierce Johnson,32777
Dylan Lee,41455
Rafael Montero,32631
Chris Sale,30948
Spencer Schwellenbach,4424862
AJ Smith-Shawver,4917640
Spencer Strider,4307825
Drake Baldwin,4810190
Sean Murphy,33557
Ozzie Albies,33783
Nick Allen,40338
Orlando Arcia,32530
Matt Olson,32767
Austin Riley,34982
Luke Williams,40466
Stuart Fairchild,40346
Michael Harris II,42470
Alex Verdugo,33786
Eli White,39963
Marcell Ozuna,31668
