Player Name,Player ID
David Bednar,38303
Ryan Borucki,36192
Bailey Falter,4705677
Caleb Ferguson,41017
Andrew Heaney,32672
Mitch Keller,33722
Isaac Mattson,42063
Carmen Mlodzinski,4298378
Tanner Rainey,38582
Dennis Santana,39801
Chase Shugart,4990069
Paul Skenes,4719507
Joey Wentz,40927
Joey Bart,41168
Henry Davis,4418683
Adam Frazier,33546
Ke'Bryan Hayes,35020
Spencer Horwitz,4228472
Isiah Kiner-Falefa,33572
Jared Triolo,42933
Alexander Canario,41239
Oneil Cruz,39712
Andrew McCutchen,28701
Tommy Pham,31208
Bryan Reynolds,38980
Nick Solak,39904
