# Data scraped on: 2025-05-22 19:37:02
Trend,Over Record,Over %,Under %,Total +/-
As Home Underdog,3-0-0,100.0%,0.0%,+10.5
Non-League Games,8-0-1,100.0%,0.0%,+3.7
With Rest Advantage,2-0-0,100.0%,0.0%,+8.5
With Rest Disadvantage,1-0-0,100.0%,0.0%,+7.5
As Underdog,12-5-2,70.6%,29.4%,+2.9
After A Loss,14-6-0,70.0%,30.0%,+2.7
As Home Team,14-7-2,66.7%,33.3%,+2.3
As Away Underdog,8-4-2,66.7%,33.3%,+1.9
Non-Division Games,26-14-4,65.0%,35.0%,+2.0
No Rest,23-13-4,63.9%,36.1%,+1.6
All Games,29-17-4,63.0%,37.0%,+1.8
Regular Season Games,29-17-4,63.0%,37.0%,+1.8
1 Day Off,5-3-0,62.5%,37.5%,+2.3
As Home Favorite,11-7-2,61.1%,38.9%,+1.0
As Away Team,14-9-2,60.9%,39.1%,+1.5
With Equal Rest,26-17-4,60.5%,39.5%,+1.4
After A Win,15-10-4,60.0%,40.0%,+1.3
As Favorite,17-12-2,58.6%,41.4%,+1.0
League Games,21-17-3,55.3%,44.7%,+1.3
As Away Favorite,6-5-0,54.5%,45.5%,+1.1
4+ Days Off,1-1-0,50.0%,50.0%,+2.3
Division Games,3-3-0,50.0%,50.0%,-0.3
At Neutral Site,1-1-0,50.0%,50.0%,-1.0
