Player Name,Player ID
Keegan Akin,36724
Bryan Baker,40884
Felix Bautista,4905859
Yennier Cano,35536
Seranthony Dominguez,37793
Zach Eflin,32804
Dean Kremer,38295
Chayce McDermott,4415756
Charlie Morton,29155
Cionel Perez,36089
Cade Povich,5085743
Gregory Soto,39804
Tomoyuki Sugano,4142423
Maverick Handley,42801
Adley Rutschman,42178
Gunnar Henderson,42507
Jackson Holliday,5080633
Jorge Mateo,33832
Ryan Mountcastle,34940
Emmanuel Rivera,40519
Ramon Urias,40610
Dylan Carlson,39226
Heston Kjerstad,4297758
Ramon Laureano,35142
Cedric Mullins,35578
Ryan O'Hearn,35183
