# Data scraped on: 2025-05-22 19:38:30
Trend,Run Line Record,Cover %,MOV,Run Line +/-
As Home Underdog,6-2-0,75.0%,2.6,+4.1
As Underdog,18-8-0,69.2%,1.3,+2.8
As Away Underdog,12-6-0,66.7%,0.7,+2.2
Division Games,9-5-0,64.3%,0.3,-0.1
No Rest,26-17-0,60.5%,1.0,+1.3
As Away Team,15-11-0,57.7%,0.8,+1.4
With Equal Rest,27-21-0,56.3%,0.7,+0.7
After A Win,14-11-0,56.0%,0.0,0.0
After A Loss,14-11-0,56.0%,1.4,+1.5
Non-League Games,10-8-0,55.6%,1.7,+2.2
All Games,28-23-0,54.9%,0.6,+0.7
Regular Season Games,28-23-0,54.9%,0.6,+0.7
League Games,18-15-0,54.5%,0.1,-0.2
As Home Team,13-12-0,52.0%,0.4,-0.1
Non-Division Games,19-18-0,51.4%,0.8,+1.0
With Rest Disadvantage,1-1-0,50.0%,-1.0,+0.5
As Home Favorite,7-10-0,41.2%,-0.6,-2.1
As Favorite,10-15-0,40.0%,0.0,-1.5
As Away Favorite,3-5-0,37.5%,1.1,-0.4
1 Day Off,2-4-0,33.3%,-0.3,-1.3
4+ Days Off,0-1-0,0.0%,-2.0,-3.5
Second Game of Doubleheader,0-1-0,0.0%,-8.0,-9.5
With Rest Advantage,0-1-0,0.0%,1.0,-0.5
