# Data scraped on: 2025-05-22 19:38:59
Trend,Run Line Record,Cover %,MOV,Run Line +/-
2-3 Days Off,1-0-0,100.0%,1.0,+2.5
4+ Days Off,1-0-0,100.0%,3.0,+4.5
Division Games,10-5-0,66.7%,1.2,+1.3
With Rest Advantage,2-1-0,66.7%,2.0,+2.5
1 Day Off,5-3-0,62.5%,1.6,+1.6
As Away Underdog,10-7-0,58.8%,-0.7,+0.8
As Underdog,17-12-0,58.6%,-0.4,+1.1
As Home Underdog,7-5-0,58.3%,-0.1,+1.4
League Games,17-13-0,56.7%,-0.4,0.0
After A Win,14-11-0,56.0%,-0.2,+0.2
As Away Team,14-12-0,53.8%,-0.5,0.0
All Games,25-23-0,52.1%,-0.4,0.0
Regular Season Games,25-23-0,52.1%,-0.4,0.0
With Equal Rest,23-22-0,51.1%,-0.5,-0.2
As Home Team,11-11-0,50.0%,-0.2,-0.1
Second Game of Doubleheader,1-1-0,50.0%,2.0,+2.0
No Rest,17-19-0,47.2%,-1.1,-0.7
After A Loss,10-12-0,45.5%,-0.6,-0.5
Non-Division Games,15-18-0,45.5%,-1.1,-0.7
As Away Favorite,4-5-0,44.4%,0.0,-1.5
Non-League Games,8-10-0,44.4%,-0.3,-0.1
As Favorite,8-11-0,42.1%,-0.2,-1.7
As Home Favorite,4-6-0,40.0%,-0.4,-1.9
