# Data scraped on: 2025-05-22 19:40:06
Trend,Over Record,Over %,Under %,Total +/-
With Rest Advantage,3-2-0,60.0%,40.0%,+0.2
As Away Favorite,8-6-0,57.1%,42.9%,0.0
1 Day Off,4-3-0,57.1%,42.9%,+0.2
As Favorite,18-17-0,51.4%,48.6%,+0.2
After A Loss,11-11-1,50.0%,50.0%,-0.1
League Games,14-15-2,48.3%,51.7%,+0.1
As Home Favorite,10-11-0,47.6%,52.4%,+0.2
Division Games,4-5-1,44.4%,55.6%,-0.1
As Away Team,10-13-2,43.5%,56.5%,-0.4
All Games,20-27-2,42.6%,57.4%,-0.3
Regular Season Games,20-27-2,42.6%,57.4%,-0.3
Non-Division Games,16-22-1,42.1%,57.9%,-0.3
As Home Team,10-14-0,41.7%,58.3%,-0.1
No Rest,16-23-2,41.0%,59.0%,-0.3
With Equal Rest,17-25-2,40.5%,59.5%,-0.3
After A Win,9-15-1,37.5%,62.5%,-0.3
Non-League Games,6-12-0,33.3%,66.7%,-0.9
As Away Underdog,2-7-2,22.2%,77.8%,-1.0
As Underdog,2-10-2,16.7%,83.3%,-1.4
As Home Underdog,0-3-0,0.0%,100.0%,-2.8
4+ Days Off,0-1-0,0.0%,100.0%,-3.5
