Player Name,Player ID
Cam Booser,2560565
Sean Burke,4867679
Jonathan Cannon,4620398
Miguel Castro,33820
Brandon Eisert,4228247
Adrian Houser,32157
Jordan Leasure,5132121
Davis Martin,42823
Jared Shuster,4623366
Shane Smith,5201814
Mike Vasil,4414551
Bryse Wilson,40922
Steven Wilson,41828
Edgar Quero,4917824
Matt Thaiss,36176
Vinny Capra,42023
Timothy Elko,5135493
Chase Meidroth,5136929
Josh Rojas,40718
Lenyn Sosa,41684
Miguel Vargas,42453
Andrew Vaughn,42394
Joshua Palacios,36462
Luis Robert Jr.,39631
Austin Slater,35265
Michael A. Taylor,32219
