Player Name,Player ID
Shane Baz,39639
Taj Bradley,42480
Garrett Cleavinger,36429
Pete Fairbanks,42180
Zack Littell,36052
Mason Montgomery,4424112
Eric Orze,4299966
Ryan Pepiot,4208281
Drew Rasmussen,42584
Manuel Rodriguez,42363
Connor Seabold,41367
Cole Sulser,37825
Edwin Uceta,41308
Danny Jansen,35004
Ben Rortvedt,40869
Jonathan Aranda,40810
Junior Caminero,4905921
Yandy Diaz,33481
Brandon Lowe,39961
Curtis Mead,42360
Taylor Walls,40576
Jose Caballero,42135
Josh Lowe,40557
Kameron Misner,42416
Christopher Morel,42927
Chandler Simpson,4679983
