Rank,Player,Team,Pos,Value
1,Jackson Chourio,Milwaukee Brewers,LF,166
2,Jarren Duran,Boston Red Sox,CF,163
3,Bryan Reynolds,Pittsburgh Pirates,LF,160
4,Brent Rooker,Sacramento Athletics,LF,154
4,Elly De La Cruz,Cincinnati Reds,SS,154
4,Willy Adames,San Francisco Giants,SS,154
7,Corbin Carroll,Arizona Diamondbacks,RF,153
8,Andrew Vaughn,Chicago White Sox,1B,152
8,Michael Harris II,Atlanta Braves,LF,152
8,Julio Rodriguez,Seattle Mariners,CF,152
11,Taylor Ward,Los Angeles Angels,LF,151
11,Junior Caminero,Tampa Bay Rays,3B,151
13,Salvador Perez,Kansas City Royals,C,150
13,Ozzie Albies,Atlanta Braves,2B,150
13,Lars Nootbaar,St. Louis Cardinals,RF,150
13,Vinnie Pasquantino,Kansas City Royals,1B,150
17,Christian Walker,Houston Astros,1B,149
17,Francisco Lindor,New York Mets,SS,149
19,Jose Altuve,Houston Astros,LF,148
19,Nathaniel Lowe,Washington Nationals,1B,148
19,Austin Riley,Atlanta Braves,3B,148
22,Brandon Nimmo,New York Mets,LF,147
22,Bo Bichette,Toronto Blue Jays,SS,147
22,Christian Yelich,Milwaukee Brewers,LF,147
22,Tyler Soderstrom,Sacramento Athletics,1B,147
22,Marcus Semien,Texas Rangers,2B,147
27,Seiya Suzuki,Chicago Cubs,RF,146
28,Pete Crow-Armstrong,Chicago Cubs,CF,145
28,Lawrence Butler,Sacramento Athletics,RF,145
28,Willson Contreras,St. Louis Cardinals,1B,145
31,Kyle Tucker,Chicago Cubs,RF,144
32,Matt Olson,Atlanta Braves,1B,143
32,Bobby Witt Jr.,Kansas City Royals,SS,143
32,Dansby Swanson,Chicago Cubs,SS,143
32,Eugenio Suárez,Arizona Diamondbacks,3B,143
36,Juan Soto,New York Mets,RF,142
36,Trevor Story,Boston Red Sox,2B,142
36,Lourdes Gurriel Jr.,Arizona Diamondbacks,LF,142
39,Yandy Diaz,Tampa Bay Rays,1B,141
39,Josh Naylor,Arizona Diamondbacks,1B,141
39,Adolis Garcia,Texas Rangers,RF,141
42,Luis Robert Jr.,Chicago White Sox,CF,140
42,James Wood,Washington Nationals,LF,140
42,Jung Hoo Lee,San Francisco Giants,CF,140
45,Nick Castellanos,Philadelphia Phillies,RF,139
45,Trea Turner,Philadelphia Phillies,SS,139
45,Spencer Torkelson,Detroit Tigers,1B,139
48,Pete Alonso,New York Mets,1B,138
48,Riley Greene,Detroit Tigers,LF,138
48,Anthony Santander,Toronto Blue Jays,RF,138
48,Alex Bregman,Boston Red Sox,2B,138
52,Michael Toglia,Colorado Rockies,1B,137
52,Anthony Volpe,New York Yankees,SS,137
52,Matt Chapman,San Francisco Giants,3B,137
52,Shohei Ohtani,Los Angeles Dodgers,P,137
52,Heliot Ramos,San Francisco Giants,CF,137
52,Alec Bohm,Philadelphia Phillies,3B,137
52,Rafael Devers,Boston Red Sox,3B,137
52,Nolan Arenado,St. Louis Cardinals,3B,137
60,Mookie Betts,Los Angeles Dodgers,SS,136
60,Michael Massey,Kansas City Royals,2B,136
60,Ke'Bryan Hayes,Pittsburgh Pirates,3B,136
60,Jonathan India,Kansas City Royals,2B,136
64,Jorge Soler,Los Angeles Angels,RF,135
64,JJ Bleday,Sacramento Athletics,CF,135
64,Bryce Harper,Philadelphia Phillies,1B,135
64,Trevor Larnach,Minnesota Twins,LF,135
68,TJ Friedl,Cincinnati Reds,CF,134
68,Jeremy Pena,Houston Astros,SS,134
70,Mark Vientos,New York Mets,3B,133
70,Cal Raleigh,Seattle Mariners,C,133
70,Isaac Paredes,Houston Astros,3B,133
70,Xavier Edwards,Miami Marlins,SS,133
74,Wilmer Flores,San Francisco Giants,1B,132
74,Kyle Schwarber,Philadelphia Phillies,LF,132
74,Hunter Goodman,Colorado Rockies,C,132
74,Joey Ortiz,Milwaukee Brewers,3B,132
78,Adley Rutschman,Baltimore Orioles,C,131
78,Spencer Steer,Cincinnati Reds,LF,131
78,Brandon Lowe,Tampa Bay Rays,2B,131
81,Maikel Garcia,Kansas City Royals,3B,130
81,Dylan Crews,Washington Nationals,RF,130
81,Nico Hoerner,Chicago Cubs,2B,130
81,Ryan McMahon,Colorado Rockies,3B,130
81,Ty France,Minnesota Twins,1B,130
81,Yainer Diaz,Houston Astros,C,130
81,Brendan Donovan,St. Louis Cardinals,2B,130
88,Ryan Mountcastle,Baltimore Orioles,1B,129
88,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,129
88,Michael Conforto,Los Angeles Dodgers,LF,129
88,Ian Happ,Chicago Cubs,LF,129
92,Fernando Tatis Jr.,San Diego Padres,RF,128
92,Xander Bogaerts,San Diego Padres,2B,128
92,Cedric Mullins,Baltimore Orioles,CF,128
92,Miguel Vargas,Chicago White Sox,3B,128
96,Josh Bell,Washington Nationals,1B,127
96,Brice Turang,Milwaukee Brewers,2B,127
96,Matt McLain,Cincinnati Reds,SS,127
99,Randy Arozarena,Seattle Mariners,LF,126
99,Eric Wagaman,Miami Marlins,3B,126
