# Data scraped on: 2025-05-22 19:42:04
Trend,Over Record,Over %,Under %,Total +/-
4+ Days Off,1-0-0,100.0%,0.0%,+2.5
With Rest Disadvantage,1-0-0,100.0%,0.0%,+5.5
1 Day Off,6-2-0,75.0%,25.0%,+1.6
Division Games,10-4-0,71.4%,28.6%,+2.6
As Away Underdog,12-5-0,70.6%,29.4%,+2.9
As Away Team,13-7-0,65.0%,35.0%,+2.2
League Games,23-13-0,63.9%,36.1%,+1.8
As Underdog,26-15-0,63.4%,36.6%,+1.8
After A Loss,17-11-0,60.7%,39.3%,+1.6
All Games,29-19-0,60.4%,39.6%,+1.6
Regular Season Games,29-19-0,60.4%,39.6%,+1.6
With Rest Advantage,3-2-0,60.0%,40.0%,+0.4
With Equal Rest,25-17-0,59.5%,40.5%,+1.6
As Home Underdog,14-10-0,58.3%,41.7%,+1.0
After A Win,11-8-0,57.9%,42.1%,+1.5
As Home Team,16-12-0,57.1%,42.9%,+1.1
No Rest,22-17-0,56.4%,43.6%,+1.5
Non-Division Games,19-15-0,55.9%,44.1%,+1.1
As Home Favorite,2-2-0,50.0%,50.0%,+2.0
Non-League Games,6-6-0,50.0%,50.0%,+0.7
As Favorite,3-4-0,42.9%,57.1%,+0.4
As Away Favorite,1-2-0,33.3%,66.7%,-1.8
