OVERALL,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS
All Splits,159,22,38,7,2,10,34,14,0,50,1,2,.239,.299,.497,.796
BREAKDOWN,0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vs. Left,35,7,11,1,0,4,13,5,0,12,0,0,.314,.400,.686,1.086
vs. Right,120,15,27,6,2,6,21,9,0,38,1,2,.225,.277,.458,.735
Home,76,8,17,3,1,3,16,9,0,22,1,2,.224,.306,.408,.714
Away,79,14,21,4,1,7,18,5,0,28,0,0,.266,.306,.608,.913
Day,64,10,16,2,1,7,17,8,0,15,0,1,.250,.333,.641,.974
Night,91,12,22,5,1,3,17,6,0,35,1,1,.242,.286,.418,.703
DAY/MONTH,0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
March,30,4,6,2,0,1,3,3,0,15,0,0,.200,.265,.367,.631
April,78,13,25,4,2,6,22,9,0,20,1,1,.321,.391,.654,1.045
May,47,5,7,1,0,3,9,2,0,15,0,1,.149,.184,.362,.545
June,0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
July,0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
August,0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
September,0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
October,0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Last 7 Days,25,2,3,1,0,1,3,1,0,8,0,1,.120,.154,.280,.434
Last 15 Days,55,8,10,2,1,4,11,3,0,18,0,1,.182,.224,.473,.697
Last 30 Days,90,11,19,5,1,6,19,3,0,27,0,1,.211,.237,.489,.725
OPPONENT,0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vs. ARI,30,5,6,1,0,3,5,1,0,11,0,0,.200,.226,.533,.759
vs. ATL,0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vs. BAL,0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vs. BOS,0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vs. CHC,0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vs. CWS,0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vs. CIN,0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vs. CLE,0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vs. COL,0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vs. DET,0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vs. HOU,0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vs. KC,0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vs. LAA,0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vs. LAD,18,1,3,1,0,0,2,1,0,7,0,0,.167,.211,.222,.433
vs. MIA,3,1,1,0,0,1,2,1,0,1,0,1,.333,.500,1.333,1.833
vs. MIL,13,1,1,0,0,0,1,0,0,7,0,0,.077,.077,.077,.154
