# Data scraped on: 2025-05-22 19:41:59
Trend,Run Line Record,Cover %,MOV,Run Line +/-
At Neutral Site,2-0-0,100.0%,3.0,+1.5
As Underdog,5-1-0,83.3%,1.2,+2.7
As Away Underdog,5-1-0,83.3%,1.2,+2.7
No Rest,21-19-0,52.5%,1.5,+0.5
With Equal Rest,23-21-0,52.3%,1.4,+0.3
As Home Team,14-13-0,51.9%,1.4,-0.1
As Home Favorite,14-13-0,51.9%,1.4,-0.1
All Games,25-25-0,50.0%,1.2,+0.1
After A Win,15-15-0,50.0%,1.4,+0.2
4+ Days Off,1-1-0,50.0%,2.0,+0.5
Division Games,5-5-0,50.0%,1.1,+0.2
Non-Division Games,20-20-0,50.0%,1.3,+0.1
League Games,19-19-0,50.0%,1.2,+0.1
Non-League Games,6-6-0,50.0%,1.3,+0.1
With Rest Advantage,2-2-0,50.0%,1.0,-0.5
Regular Season Games,25-25-0,50.0%,1.2,+0.1
After A Loss,9-10-0,47.4%,0.9,-0.1
As Favorite,20-24-0,45.5%,1.3,-0.3
As Away Team,9-12-0,42.9%,0.8,+0.2
1 Day Off,3-5-0,37.5%,-0.4,-1.9
As Away Favorite,4-11-0,26.7%,0.7,-0.8
With Rest Disadvantage,0-2-0,0.0%,-1.5,-3.0
