Player Name,Player ID
Anthony Banda,34542
Ben Casparius,4326800
Jack Dreyer,5136082
Luis Garcia,33089
Tony Gonsolin,38958
Clayton Kershaw,28963
Landon Knack,4417826
Dustin May,40937
Matt Sauer,41042
Tanner Scott,35135
Lou Trivino,35844
Alex Vesia,42622
Yoshinobu Yamamoto,4872587
Dalton Rushing,4619839
Will Smith,38309
Mookie Betts,33039
Tommy Edman,39907
Freddie Freeman,30193
Enrique Hernandez,31358
Hyeseong Kim,5134614
Max Muncy,33303
Miguel Rojas,30791
Michael Conforto,33711
Teoscar Hernandez,33377
Andy Pages,42468
Shohei Ohtani,39832
