# Data scraped on: 2025-05-22 19:49:52
Date,H/A/N,Opponent,Opp Rank,TOR Line,TOR Odds,Result,Diff
03/27,Home,Baltimore,22,-1.5,+184,L by 10,-11.5
03/28,Home,Baltimore,22,-1.5,+160,W by 6,+4.5
03/29,Home,Baltimore,22,-1.5,+165,L by 4,-5.5
03/30,Home,Baltimore,22,-1.5,+150,W by 2,+0.5
03/31,Home,Washington,25,-1.5,+126,W by 3,+1.5
04/01,Home,Washington,25,-1.5,+135,W by 2,+0.5
04/02,Home,Washington,25,+1.5,-176,W by 2,+3.5
04/04,Away,NY Mets,3,+1.5,-185,L by 5,-3.5
04/05,Away,NY Mets,3,+1.5,-183,L by 1,+0.5
04/06,Away,NY Mets,3,+1.5,-180,L by 1,+0.5
04/07,Away,Boston,9,+1.5,-180,W by 4,+5.5
04/08,Away,Boston,9,+1.5,-115,W by 5,+6.5
04/09,Away,Boston,9,+1.5,-190,W by 1,+2.5
04/10,Away,Boston,9,+1.5,-184,L by 1,+0.5
04/12,Away,Baltimore,22,+1.5,-198,L by 1,+0.5
04/13,Away,Baltimore,22,+1.5,-172,W by 1,+2.5
04/14,Home,Atlanta,4,+1.5,-157,L by 4,-2.5
04/15,Home,Atlanta,4,+1.5,-167,W by 3,+4.5
04/16,Home,Atlanta,4,+1.5,-155,W by 2,+3.5
04/18,Home,Seattle,13,-1.5,+174,W by 2,+0.5
04/19,Home,Seattle,13,+1.5,-164,L by 4,-2.5
04/20,Home,Seattle,13,+1.5,-180,L by 5,-3.5
04/21,Away,Houston,11,+1.5,-185,L by 7,-5.5
04/22,Away,Houston,11,-1.5,+140,L by 4,-5.5
04/23,Away,Houston,11,+1.5,-211,L by 2,-0.5
04/25,Away,NY Yankees,2,+1.5,-155,W by 2,+3.5
04/27,Away,NY Yankees,2,+1.5,-120,L by 9,-7.5
04/27,Away,NY Yankees,2,+1.5,-155,L by 4,-2.5
04/29,Home,Boston,9,+1.5,-148,L by 8,-6.5
04/30,Home,Boston,9,+1.5,-175,W by 1,+2.5
05/01,Home,Boston,9,-1.5,+200,W by 2,+0.5
05/02,Home,Cleveland,23,-1.5,+129,W by 2,+0.5
05/03,Home,Cleveland,23,-1.5,+137,L by 2,-3.5
05/04,Home,Cleveland,23,-1.5,+202,L by 1,-2.5
05/06,Away,LA Angels,26,-1.5,+140,L by 5,-6.5
05/07,Away,LA Angels,26,-1.5,+140,L by 1,-2.5
05/08,Away,LA Angels,26,-1.5,+124,W by 3,+1.5
05/09,Away,Seattle,13,+1.5,-177,W by 3,+4.5
05/10,Away,Seattle,13,+1.5,-185,W by 3,+4.5
05/11,Away,Seattle,13,+1.5,-132,W by 8,+9.5
05/13,Home,Tampa Bay,17,-1.5,+155,L by 2,-3.5
05/14,Home,Tampa Bay,17,-1.5,+142,W by 2,+0.5
05/15,Home,Tampa Bay,17,-1.5,+129,L by 5,-6.5
05/16,Home,Detroit,7,+1.5,-160,L by 1,+0.5
05/17,Home,Detroit,7,+1.5,-138,W by 1,+2.5
05/18,Home,Detroit,7,-1.5,+167,L by 1,-2.5
05/20,Home,San Diego,10,+1.5,-174,W by 3,+4.5
05/21,Home,San Diego,10,-1.5,+131,W by 14,+12.5
05/22,Home,San Diego,10,+1.5,-162,W by 1,+2.5
