# Data scraped on: 2025-05-22 19:43:44
Trend,Over Record,Over %,Under %,Total +/-
Second Game of Doubleheader,1-0-0,100.0%,0.0%,+1.5
With Rest Advantage,1-0-1,100.0%,0.0%,+2.8
1 Day Off,4-2-1,66.7%,33.3%,+1.3
As Away Favorite,9-7-1,56.3%,43.8%,+0.9
Division Games,6-6-1,50.0%,50.0%,+1.5
With Rest Disadvantage,1-1-0,50.0%,50.0%,-1.3
As Favorite,16-17-3,48.5%,51.5%,0.0
League Games,14-15-3,48.3%,51.7%,+0.4
As Home Favorite,7-10-2,41.2%,58.8%,-0.8
After A Win,11-16-2,40.7%,59.3%,-0.7
As Away Team,10-17-1,37.0%,63.0%,-0.4
All Games,17-30-3,36.2%,63.8%,-0.6
Regular Season Games,17-30-3,36.2%,63.8%,-0.6
As Home Team,7-13-2,35.0%,65.0%,-0.9
With Equal Rest,15-29-2,34.1%,65.9%,-0.7
After A Loss,6-13-1,31.6%,68.4%,-0.3
Non-Division Games,11-24-2,31.4%,68.6%,-1.3
No Rest,12-27-2,30.8%,69.2%,-0.9
Non-League Games,3-15-0,16.7%,83.3%,-2.4
As Away Underdog,1-10-0,9.1%,90.9%,-2.3
As Underdog,1-13-0,7.1%,92.9%,-2.1
As Home Underdog,0-3-0,0.0%,100.0%,-1.3
4+ Days Off,0-1-0,0.0%,100.0%,-3.5
