# Data scraped on: 2025-05-22 19:47:37
Trend,Over Record,Over %,Under %,Total +/-
With Rest Advantage,3-0-0,100.0%,0.0%,+3.0
1 Day Off,7-1-0,87.5%,12.5%,+2.9
With Rest Disadvantage,2-1-0,66.7%,33.3%,+2.8
As Away Favorite,7-4-0,63.6%,36.4%,+0.7
As Favorite,17-10-2,63.0%,37.0%,+1.1
As Home Favorite,10-6-2,62.5%,37.5%,+1.3
After A Win,16-10-1,61.5%,38.5%,+1.1
As Home Team,13-9-2,59.1%,40.9%,+1.2
Non-League Games,7-5-0,58.3%,41.7%,+2.7
Non-Division Games,17-13-0,56.7%,43.3%,+1.4
All Games,26-20-2,56.5%,43.5%,+1.0
Regular Season Games,26-20-2,56.5%,43.5%,+1.0
Division Games,9-7-2,56.3%,43.8%,+0.3
League Games,19-15-2,55.9%,44.1%,+0.4
As Away Team,13-11-0,54.2%,45.8%,+0.8
After A Loss,10-9-1,52.6%,47.4%,+0.9
With Equal Rest,21-19-2,52.5%,47.5%,+0.7
No Rest,19-18-2,51.4%,48.6%,+0.7
As Home Underdog,3-3-0,50.0%,50.0%,+1.0
As Underdog,9-10-0,47.4%,52.6%,+0.9
As Away Underdog,6-7-0,46.2%,53.8%,+0.8
4+ Days Off,0-1-0,0.0%,100.0%,-1.0
