Rank,Player,Team,Pos,Value
1,Hunter Brown,Houston Astros,P,2.04
2,Logan Webb,San Francisco Giants,P,2.19
3,Nathan Eovaldi,Texas Rangers,P,2.30
4,Tarik Skubal,Detroit Tigers,P,2.31
5,Jesus Luzardo,Philadelphia Phillies,P,2.35
6,Matthew Liberatore,St. Louis Cardinals,P,2.42
7,Kris Bubic,Kansas City Royals,P,2.78
8,Max Fried,New York Yankees,P,2.82
9,Paul Skenes,Pittsburgh Pirates,P,2.86
10,Bryan Woo,Seattle Mariners,P,2.89
11,Garrett Crochet,Boston Red Sox,P,2.91
12,Yoshinobu Yamamoto,Los Angeles Dodgers,P,2.96
13,Kodai Senga,New York Mets,P,2.96
14,Will Warren,New York Yankees,P,2.96
15,Zack Wheeler,Philadelphia Phillies,P,2.98
16,MacKenzie Gore,Washington Nationals,P,3.08
17,Chris Sale,Atlanta Braves,P,3.09
18,Chris Bassitt,Toronto Blue Jays,P,3.11
19,Tyler Mahle,Texas Rangers,P,3.20
20,Michael Wacha,Kansas City Royals,P,3.22
21,Joe Ryan,Minnesota Twins,P,3.22
22,Nick Pivetta,San Diego Padres,P,3.22
23,Kyle Freeland,Colorado Rockies,P,3.26
24,Michael King,San Diego Padres,P,3.33
25,Nick Martinez,Cincinnati Reds,P,3.34
26,Framber Valdez,Houston Astros,P,3.41
27,Mitch Keller,Pittsburgh Pirates,P,3.53
28,Dylan Cease,San Diego Padres,P,3.57
29,Merrill Kelly,Arizona Diamondbacks,P,3.58
30,Robbie Ray,San Francisco Giants,P,3.58
31,Jacob deGrom,Texas Rangers,P,3.61
32,David Peterson,New York Mets,P,3.62
33,Luis Severino,Sacramento Athletics,P,3.62
34,Cristopher Sanchez,Philadelphia Phillies,P,3.67
35,Luis Castillo,Seattle Mariners,P,3.68
36,Clay Holmes,New York Mets,P,3.71
37,Spencer Schwellenbach,Atlanta Braves,P,3.72
38,Nick Lodolo,Cincinnati Reds,P,3.73
39,Jose Soriano,Los Angeles Angels,P,3.73
40,Carlos Rodon,New York Yankees,P,3.74
41,Freddy Peralta,Milwaukee Brewers,P,3.79
42,Kevin Gausman,Toronto Blue Jays,P,3.83
43,Mitchell Parker,Washington Nationals,P,3.89
44,Sonny Gray,St. Louis Cardinals,P,3.91
45,Matthew Boyd,Chicago Cubs,P,3.96
46,Max Meyer,Miami Marlins,P,3.99
47,Bailey Ober,Minnesota Twins,P,4.03
48,JP Sears,Sacramento Athletics,P,4.04
49,Davis Martin,Chicago White Sox,P,4.15
50,Jonathan Cannon,Chicago White Sox,P,4.18
51,Luis Ortiz,Cleveland Guardians,P,4.19
52,Bailey Falter,Pittsburgh Pirates,P,4.26
53,Andrew Heaney,Pittsburgh Pirates,P,4.29
54,Ronel Blanco,Houston Astros,P,4.34
55,Michael Lorenzen,Kansas City Royals,P,4.44
56,Yusei Kikuchi,Los Angeles Angels,P,4.48
57,Erick Fedde,St. Louis Cardinals,P,4.51
58,Jeffrey Springs,Sacramento Athletics,P,4.56
59,Seth Lugo,Kansas City Royals,P,4.58
60,Tyler Anderson,Los Angeles Angels,P,4.77
61,Jose Berrios,Toronto Blue Jays,P,4.79
62,Taj Bradley,Tampa Bay Rays,P,4.80
63,Zac Gallen,Arizona Diamondbacks,P,4.81
64,Ryan Pepiot,Tampa Bay Rays,P,4.85
65,Justin Verlander,San Francisco Giants,P,4.89
66,Chris Paddack,Minnesota Twins,P,4.89
67,Jake Irvin,Washington Nationals,P,4.92
68,Tomoyuki Sugano,Baltimore Orioles,P,4.95
69,Andre Pallante,St. Louis Cardinals,P,4.95
70,Dean Kremer,Baltimore Orioles,P,4.96
71,Shane Baz,Tampa Bay Rays,P,4.98
72,Brandon Pfaadt,Arizona Diamondbacks,P,5.07
73,Aaron Nola,Philadelphia Phillies,P,5.13
74,Jack Kochanowicz,Los Angeles Angels,P,5.25
75,Grant Holmes,Atlanta Braves,P,5.33
76,Antonio Senzatela,Colorado Rockies,P,5.46
77,Zack Littell,Tampa Bay Rays,P,5.49
78,Jameson Taillon,Chicago Cubs,P,5.49
79,Kyle Hendricks,Los Angeles Angels,P,5.69
80,Tanner Bibee,Cleveland Guardians,P,5.75
