# Data scraped on: 2025-05-22 19:47:22
Date,H/A/N,Opponent,Opp Rank,SF Line,SF Odds,Result,Diff
03/27,Away,Cincinnati,16,+1.5,-231,W by 2,+3.5
03/29,Away,Cincinnati,16,+1.5,-203,L by 1,+0.5
03/30,Away,Cincinnati,16,-1.5,+134,W by 3,+1.5
03/31,Away,Houston,11,+1.5,-197,W by 5,+6.5
04/01,Away,Houston,11,-1.5,+132,W by 2,+0.5
04/02,Away,Houston,11,+1.5,-145,W by 3,+4.5
04/04,Home,Seattle,13,-1.5,+148,W by 1,-0.5
04/05,Home,Seattle,13,-1.5,+178,W by 3,+1.5
04/06,Home,Seattle,13,-1.5,+189,W by 1,-0.5
04/07,Home,Cincinnati,16,-1.5,+145,L by 2,-3.5
04/08,Home,Cincinnati,16,-1.5,+171,L by 1,-2.5
04/09,Home,Cincinnati,16,-1.5,+152,W by 2,+0.5
04/11,Away,NY Yankees,2,+1.5,-180,W by 8,+9.5
04/12,Away,NY Yankees,2,+1.5,-172,L by 4,-2.5
04/13,Away,NY Yankees,2,+1.5,-193,W by 1,+2.5
04/14,Away,Philadelphia,6,+1.5,-199,W by 6,+7.5
04/15,Away,Philadelphia,6,+1.5,-151,L by 2,-0.5
04/16,Away,Philadelphia,6,+1.5,-168,W by 7,+8.5
04/17,Away,Philadelphia,6,+1.5,-125,L by 2,-0.5
04/18,Away,LA Angels,26,-1.5,+105,L by 2,-3.5
04/19,Away,LA Angels,26,-1.5,+118,W by 1,-0.5
04/20,Away,LA Angels,26,-1.5,+154,L by 1,-2.5
04/21,Home,Milwaukee,18,-1.5,+154,W by 3,+1.5
04/22,Home,Milwaukee,18,-1.5,+147,L by 8,-9.5
04/23,Home,Milwaukee,18,-1.5,+165,W by 2,+0.5
04/24,Home,Milwaukee,18,-1.5,+146,W by 1,-0.5
04/25,Home,Texas,14,-1.5,+170,L by 2,-3.5
04/26,Home,Texas,14,-1.5,+154,W by 1,-0.5
04/27,Home,Texas,14,-1.5,+156,W by 1,-0.5
04/29,Away,San Diego,10,-1.5,+145,L by 3,-4.5
04/30,Away,San Diego,10,+1.5,-189,L by 2,-0.5
05/01,Home,Colorado,30,-1.5,-110,L by 1,-2.5
05/02,Home,Colorado,30,-1.5,-127,W by 4,+2.5
05/03,Home,Colorado,30,-1.5,-142,W by 3,+1.5
05/04,Home,Colorado,30,-1.5,-175,W by 6,+4.5
05/05,Away,Chi Cubs,5,+1.5,-148,L by 7,-5.5
05/06,Away,Chi Cubs,5,+1.5,-160,W by 9,+10.5
05/07,Away,Chi Cubs,5,+1.5,-155,W by 2,+3.5
05/09,Away,Minnesota,12,-1.5,+142,L by 2,-3.5
05/10,Away,Minnesota,12,+1.5,-244,L by 1,+0.5
05/11,Away,Minnesota,12,+1.5,-154,L by 1,+0.5
05/12,Home,Arizona,8,+1.5,-161,L by 1,+0.5
05/13,Home,Arizona,8,+1.5,-175,W by 4,+5.5
05/14,Home,Arizona,8,+1.5,-170,L by 1,+0.5
05/16,Home,Sacramento,27,-1.5,+117,W by 8,+6.5
05/17,Home,Sacramento,27,-1.5,+138,W by 1,-0.5
05/18,Home,Sacramento,27,-1.5,+141,W by 1,-0.5
05/19,Home,Kansas City,20,-1.5,+166,L by 2,-3.5
05/20,Home,Kansas City,20,-1.5,+161,W by 1,-0.5
05/21,Home,Kansas City,20,-1.5,+105,L by 4,-5.5
