# Data scraped on: 2025-05-22 19:34:39
Trend,Over Record,Over %,Under %,Total +/-
4+ Days Off,1-0-0,100.0%,0.0%,+7.5
With Rest Disadvantage,3-0-0,100.0%,0.0%,+5.2
As Away Favorite,8-4-0,66.7%,33.3%,+2.7
With Rest Advantage,2-1-0,66.7%,33.3%,+2.7
As Away Team,12-11-1,52.2%,47.8%,+1.6
As Favorite,15-15-3,50.0%,50.0%,+1.7
1 Day Off,3-3-0,50.0%,50.0%,+0.8
Non-League Games,4-4-1,50.0%,50.0%,+0.8
Non-Division Games,16-17-4,48.5%,51.5%,+1.2
All Games,21-25-4,45.7%,54.3%,+1.3
Regular Season Games,21-25-4,45.7%,54.3%,+1.3
After A Loss,9-11-3,45.0%,55.0%,+0.1
League Games,17-21-3,44.7%,55.3%,+1.4
After A Win,11-14-1,44.0%,56.0%,+2.1
No Rest,17-22-4,43.6%,56.4%,+1.2
As Home Underdog,2-3-0,40.0%,60.0%,+0.1
With Equal Rest,16-24-4,40.0%,60.0%,+0.9
As Home Team,9-14-3,39.1%,60.9%,+1.0
As Home Favorite,7-11-3,38.9%,61.1%,+1.2
Division Games,5-8-0,38.5%,61.5%,+1.6
As Underdog,6-10-1,37.5%,62.5%,+0.4
As Away Underdog,4-7-1,36.4%,63.6%,+0.6
