# Data scraped on: 2025-05-22 19:34:55
Date,H/A/N,Opponent,Opp Rank,AZ Line,AZ Odds,Result,Diff
03/27,Home,Chi Cubs,5,-1.5,+175,L by 4,-5.5
03/28,Home,Chi Cubs,5,-1.5,+147,W by 7,+5.5
03/29,Home,Chi Cubs,5,-1.5,+172,L by 1,-2.5
03/30,Home,Chi Cubs,5,-1.5,+184,W by 4,+2.5
04/01,Away,NY Yankees,2,-1.5,+135,W by 2,+0.5
04/02,Away,NY Yankees,2,+1.5,-165,W by 1,+2.5
04/03,Away,NY Yankees,2,+1.5,-160,L by 2,-0.5
04/04,Away,Washington,25,-1.5,+105,W by 2,+0.5
04/05,Away,Washington,25,-1.5,+123,L by 1,-2.5
04/06,Away,Washington,25,-1.5,-105,L by 1,-2.5
04/07,Home,Baltimore,22,-1.5,+154,L by 4,-5.5
04/08,Home,Baltimore,22,-1.5,+195,W by 1,-0.5
04/09,Home,Baltimore,22,-1.5,+171,W by 9,+7.5
04/11,Home,Milwaukee,18,-1.5,+130,L by 7,-8.5
04/12,Home,Milwaukee,18,-1.5,+123,W by 1,-0.5
04/13,Home,Milwaukee,18,-1.5,+180,W by 3,+1.5
04/15,Away,Miami,28,-1.5,+102,W by 6,+4.5
04/16,Away,Miami,28,-1.5,+119,W by 4,+2.5
04/17,Away,Miami,28,-1.5,+113,W by 2,+0.5
04/18,Away,Chi Cubs,5,-1.5,+133,L by 2,-3.5
04/19,Away,Chi Cubs,5,+1.5,-198,L by 4,-2.5
04/20,Away,Chi Cubs,5,+1.5,-185,W by 1,+2.5
04/22,Home,Tampa Bay,17,-1.5,+105,W by 4,+2.5
04/23,Home,Tampa Bay,17,-1.5,+124,L by 1,-2.5
04/24,Home,Tampa Bay,17,-1.5,+153,L by 3,-4.5
04/25,Home,Atlanta,4,+1.5,-149,L by 6,-4.5
04/26,Home,Atlanta,4,-1.5,+167,L by 1,-2.5
04/27,Home,Atlanta,4,+1.5,-155,W by 2,+3.5
04/29,Away,NY Mets,3,+1.5,-167,L by 5,-3.5
04/30,Away,NY Mets,3,-1.5,+145,W by 1,-0.5
05/01,Away,NY Mets,3,+1.5,-155,W by 2,+3.5
05/02,Away,Philadelphia,6,+1.5,-149,L by 1,+0.5
05/03,Away,Philadelphia,6,+1.5,-185,L by 5,-3.5
05/04,Away,Philadelphia,6,+1.5,-160,W by 2,+3.5
05/05,Home,NY Mets,3,-1.5,+171,L by 1,-2.5
05/06,Home,NY Mets,3,-1.5,+179,W by 4,+2.5
05/07,Home,NY Mets,3,+1.5,-162,L by 6,-4.5
05/08,Home,LA Dodgers,1,+1.5,-114,W by 2,+3.5
05/09,Home,LA Dodgers,1,-1.5,+170,L by 3,-4.5
05/10,Home,LA Dodgers,1,-1.5,+170,W by 3,+1.5
05/11,Home,LA Dodgers,1,+1.5,-153,L by 7,-5.5
05/12,Away,SF Giants,15,-1.5,+142,W by 1,-0.5
05/13,Away,SF Giants,15,-1.5,+145,L by 4,-5.5
05/14,Away,SF Giants,15,-1.5,+142,W by 1,-0.5
05/16,Home,Colorado,30,-1.5,-181,W by 8,+6.5
05/17,Home,Colorado,30,-1.5,-186,L by 2,-3.5
05/18,Home,Colorado,30,-1.5,-148,W by 1,-0.5
05/19,Away,LA Dodgers,1,+1.5,-152,W by 4,+5.5
05/20,Away,LA Dodgers,1,+1.5,+105,L by 1,+0.5
05/21,Away,LA Dodgers,1,+1.5,-157,L by 2,-0.5
