Player Name,Player ID
Jorge Alcala,41031
Jhoan Duran,41109
Kody Funderburk,4348166
Griffin Jax,42604
Pablo Lopez,39671
Zebby Matthews,4791597
Bailey Ober,3107919
Chris Paddack,35999
Joe Ryan,42450
Cole Sands,3983841
Brock Stewart,35997
Justin Topa,38796
Louis Varland,4917888
Ryan Jeffers,41587
Christian Vazquez,31389
Jonah Bride,3960984
Willi Castro,34230
Kody Clemens,41311
Ryan Fitzgerald,41584
Ty France,35591
Brooks Lee,4629081
Royce Lewis,40635
Harrison Bader,35062
DaShawn Keirsey Jr.,42753
Trevor Larnach,41205
Carson McCusker,4326103
