Rank,Player,Team,Pos,Value
1,Aaron Judge,New York Yankees,CF,138
2,Shohei Ohtani,Los Angeles Dodgers,P,127
3,Corbin Carroll,Arizona Diamondbacks,RF,123
4,Pete Crow-Armstrong,Chicago Cubs,CF,109
5,Alex Bregman,Boston Red Sox,2B,108
6,Kyle Schwarber,Philadelphia Phillies,LF,102
7,Kyle Tucker,Chicago Cubs,RF,101
8,James Wood,Washington Nationals,LF,100
8,Bobby Witt Jr.,Kansas City Royals,SS,100
10,Riley Greene,Detroit Tigers,LF,99
11,Pete Alonso,New York Mets,1B,98
12,Fernando Tatis Jr.,San Diego Padres,RF,97
12,Seiya Suzuki,Chicago Cubs,RF,97
12,Rafael Devers,Boston Red Sox,3B,97
15,Cal Raleigh,Seattle Mariners,C,95
16,Freddie Freeman,Los Angeles Dodgers,1B,94
17,Tyler Soderstrom,Sacramento Athletics,1B,91
18,Spencer Torkelson,Detroit Tigers,1B,89
18,Kyle Stowers,Miami Marlins,LF,89
18,Francisco Lindor,New York Mets,SS,89
21,Dansby Swanson,Chicago Cubs,SS,88
21,Eugenio Suárez,Arizona Diamondbacks,3B,88
21,Heliot Ramos,San Francisco Giants,CF,88
21,Austin Riley,Atlanta Braves,3B,88
21,Jarren Duran,Boston Red Sox,CF,88
26,Jung Hoo Lee,San Francisco Giants,CF,87
26,Jacob Wilson,Sacramento Athletics,SS,87
28,Brent Rooker,Sacramento Athletics,LF,86
28,Paul Goldschmidt,New York Yankees,1B,86
28,Jackson Chourio,Milwaukee Brewers,LF,86
28,Kerry Carpenter,Detroit Tigers,RF,86
28,Brendan Donovan,St. Louis Cardinals,2B,86
33,Bo Bichette,Toronto Blue Jays,SS,85
33,Taylor Ward,Los Angeles Angels,LF,85
35,Maikel Garcia,Kansas City Royals,3B,84
35,Wilyer Abreu,Boston Red Sox,CF,84
35,Jose Ramirez,Cleveland Guardians,3B,84
38,Hunter Goodman,Colorado Rockies,C,83
39,Bryce Harper,Philadelphia Phillies,1B,82
39,Geraldo Perdomo,Arizona Diamondbacks,SS,82
39,CJ Abrams,Washington Nationals,SS,82
39,Byron Buxton,Minnesota Twins,CF,82
43,Andy Pages,Los Angeles Dodgers,CF,81
43,Jeremy Pena,Houston Astros,SS,81
45,Josh Naylor,Arizona Diamondbacks,1B,80
45,Elly De La Cruz,Cincinnati Reds,SS,80
45,Matt Olson,Atlanta Braves,1B,80
48,Ben Rice,New York Yankees,1B,79
48,Lars Nootbaar,St. Louis Cardinals,RF,79
50,Teoscar Hernandez,Los Angeles Dodgers,LF,78
50,Isaac Paredes,Houston Astros,3B,78
52,Trea Turner,Philadelphia Phillies,SS,77
52,Lourdes Gurriel Jr.,Arizona Diamondbacks,LF,77
52,Steven Kwan,Cleveland Guardians,LF,77
52,Mookie Betts,Los Angeles Dodgers,SS,77
52,Julio Rodriguez,Seattle Mariners,CF,77
57,Juan Soto,New York Mets,RF,76
57,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,76
57,Wilmer Flores,San Francisco Giants,1B,76
57,Nick Castellanos,Philadelphia Phillies,RF,76
61,Manny Machado,San Diego Padres,3B,75
61,Cedric Mullins,Baltimore Orioles,CF,75
61,Vinnie Pasquantino,Kansas City Royals,1B,75
64,Shea Langeliers,Sacramento Athletics,C,74
64,Gunnar Henderson,Baltimore Orioles,3B,74
66,Nathaniel Lowe,Washington Nationals,1B,73
66,Lawrence Butler,Sacramento Athletics,RF,73
66,Trent Grisham,New York Yankees,CF,73
66,Jorge Polanco,Seattle Mariners,2B,73
66,Michael Busch,Chicago Cubs,1B,73
71,Cody Bellinger,New York Yankees,CF,72
71,Anthony Volpe,New York Yankees,SS,72
71,Yandy Diaz,Tampa Bay Rays,1B,72
71,Logan O'Hoppe,Los Angeles Angels,C,72
71,Willson Contreras,St. Louis Cardinals,1B,72
71,Trevor Larnach,Minnesota Twins,LF,72
77,Josh Jung,Texas Rangers,3B,71
77,Brandon Nimmo,New York Mets,LF,71
77,Jonathan Aranda,Tampa Bay Rays,1B,71
77,Marcell Ozuna,Atlanta Braves,DH,71
77,Jordan Beck,Colorado Rockies,LF,71
77,Wyatt Langford,Texas Rangers,LF,71
83,Junior Caminero,Tampa Bay Rays,3B,70
83,Rhys Hoskins,Milwaukee Brewers,1B,70
83,TJ Friedl,Cincinnati Reds,CF,70
86,Willy Adames,San Francisco Giants,SS,69
86,Kyle Manzardo,Cleveland Guardians,1B,69
88,Miguel Vargas,Chicago White Sox,3B,68
88,Matt Chapman,San Francisco Giants,3B,68
90,Luis Arraez,San Diego Padres,1B,67
90,Brice Turang,Milwaukee Brewers,2B,67
90,Nolan Arenado,St. Louis Cardinals,3B,67
93,Mike Yastrzemski,San Francisco Giants,RF,66
93,Jackson Holliday,Baltimore Orioles,SS,66
93,Adolis Garcia,Texas Rangers,RF,66
96,Bryson Stott,Philadelphia Phillies,2B,65
96,Randy Arozarena,Seattle Mariners,LF,65
96,Nico Hoerner,Chicago Cubs,2B,65
96,Zach McKinstry,Detroit Tigers,RF,65
96,Javier Baez,Detroit Tigers,CF,65
