# Data scraped on: 2025-05-22 19:46:21
Date,H/A/N,Opponent,Opp Rank,PIT Line,PIT Odds,Result,Diff
03/27,Away,Miami,28,-1.5,+125,L by 1,-2.5
03/28,Away,Miami,28,-1.5,+131,W by 1,-0.5
03/29,Away,Miami,28,-1.5,+136,L by 1,-2.5
03/30,Away,Miami,28,+1.5,-212,L by 1,+0.5
03/31,Away,Tampa Bay,17,+1.5,-135,L by 5,-3.5
04/01,Away,Tampa Bay,17,+1.5,-148,L by 7,-5.5
04/02,Away,Tampa Bay,17,-1.5,+158,W by 2,+0.5
04/04,Home,NY Yankees,2,+1.5,-115,L by 5,-3.5
04/05,Home,NY Yankees,2,+1.5,-112,L by 6,-4.5
04/06,Home,NY Yankees,2,+1.5,-111,W by 1,+2.5
04/07,Home,St. Louis,19,+1.5,-168,W by 4,+5.5
04/08,Home,St. Louis,19,-1.5,+165,L by 2,-3.5
04/09,Home,St. Louis,19,+1.5,-168,W by 1,+2.5
04/11,Away,Cincinnati,16,+1.5,-142,L by 2,-0.5
04/12,Away,Cincinnati,16,+1.5,-205,L by 3,-1.5
04/13,Away,Cincinnati,16,+1.5,-129,L by 4,-2.5
04/14,Home,Washington,25,-1.5,+104,W by 7,+5.5
04/15,Home,Washington,25,-1.5,+170,L by 3,-4.5
04/16,Home,Washington,25,-1.5,+183,W by 5,+3.5
04/17,Home,Washington,25,-1.5,+154,W by 1,-0.5
04/18,Home,Cleveland,23,+1.5,-153,L by 3,-1.5
04/19,Home,Cleveland,23,-1.5,+127,L by 3,-4.5
04/20,Home,Cleveland,23,-1.5,+166,L by 1,-2.5
04/22,Away,LA Angels,26,+1.5,-130,W by 6,+7.5
04/23,Away,LA Angels,26,+1.5,-170,W by 3,+4.5
04/24,Away,LA Angels,26,+1.5,-148,L by 1,+0.5
04/25,Away,LA Dodgers,1,+1.5,-112,W by 3,+4.5
04/26,Away,LA Dodgers,1,+1.5,+120,L by 4,-2.5
04/27,Away,LA Dodgers,1,+1.5,+132,L by 7,-5.5
04/29,Home,Chi Cubs,5,+1.5,-135,L by 9,-7.5
04/30,Home,Chi Cubs,5,+1.5,-104,W by 1,+2.5
05/01,Home,Chi Cubs,5,-1.5,+171,L by 5,-6.5
05/02,Home,San Diego,10,+1.5,-145,L by 5,-3.5
05/03,Home,San Diego,10,-1.5,+172,L by 1,-2.5
05/04,Home,San Diego,10,-1.5,+193,L by 4,-5.5
05/05,Away,St. Louis,19,+1.5,-177,L by 3,-1.5
05/06,Away,St. Louis,19,-1.5,+145,L by 1,-2.5
05/07,Away,St. Louis,19,+1.5,-142,L by 5,-3.5
05/09,Home,Atlanta,4,+1.5,-127,W by 1,+2.5
05/10,Home,Atlanta,4,+1.5,-130,L by 1,+0.5
05/11,Home,Atlanta,4,+1.5,+120,W by 1,+2.5
05/12,Away,NY Mets,3,+1.5,-160,L by 1,+0.5
05/13,Away,NY Mets,3,+1.5,-104,L by 1,+0.5
05/14,Away,NY Mets,3,+1.5,+104,W by 4,+5.5
05/16,Away,Philadelphia,6,+1.5,+101,L by 4,-2.5
05/17,Away,Philadelphia,6,+1.5,+141,L by 3,-1.5
05/18,Away,Philadelphia,6,-1.5,+149,L by 1,-2.5
05/19,Home,Cincinnati,16,+1.5,-170,L by 6,-4.5
05/20,Home,Cincinnati,16,+1.5,-138,W by 1,+2.5
05/21,Home,Cincinnati,16,+1.5,-150,W by 2,+3.5
