# Data scraped on: 2025-05-22 19:48:37
Trend,Over Record,Over %,Under %,Total +/-
Division Games,6-6-1,50.0%,50.0%,+0.4
As Away Underdog,6-7-0,46.2%,53.8%,0.0
League Games,11-13-1,45.8%,54.2%,-0.1
As Underdog,10-12-1,45.5%,54.5%,0.0
As Home Underdog,4-5-1,44.4%,55.6%,-0.1
No Rest,17-23-2,42.5%,57.5%,-0.6
With Equal Rest,18-25-2,41.9%,58.1%,-0.3
After A Loss,10-14-2,41.7%,58.3%,-0.3
As Home Team,12-17-2,41.4%,58.6%,-0.5
After A Win,9-13-0,40.9%,59.1%,-0.5
All Games,19-28-2,40.4%,59.6%,-0.4
Regular Season Games,19-28-2,40.4%,59.6%,-0.4
As Home Favorite,8-12-1,40.0%,60.0%,-0.7
As Away Team,7-11-0,38.9%,61.1%,-0.3
Non-Division Games,13-22-1,37.1%,62.9%,-0.8
As Favorite,9-16-1,36.0%,64.0%,-0.8
Non-League Games,8-15-1,34.8%,65.2%,-0.8
1 Day Off,2-4-0,33.3%,66.7%,+0.9
With Rest Disadvantage,1-3-0,25.0%,75.0%,-2.3
As Away Favorite,1-4-0,20.0%,80.0%,-1.2
4+ Days Off,0-1-0,0.0%,100.0%,-3.0
