Player Name,Player ID
Tyler Alexander,40360
Grant Anderson,42161
Logan Henderson,4917878
Jared Koenig,4995802
Easton McGee,41810
Nick Mears,42620
Trevor Megill,40080
Chad Patrick,5131708
Joel Payamps,40021
Freddy Peralta,39825
Quinn Priester,42449
Abner Uribe,4917865
Rob Zastryzny,36025
William Contreras,39895
Eric Haase,33452
Jake Bauers,35013
Caleb Durbin,5007615
Rhys Hoskins,35291
Andruw Monasterio,36950
Joey Ortiz,42958
Brice Turang,41179
Daz Cameron,34964
Jackson Chourio,4917869
Isaac Collins,42959
Sal Frelick,4417795
Christian Yelich,31283
