# Data scraped on: 2025-05-22 19:40:39
Trend,Win-Loss Record,Win %,MOV,Run Line +/-
Second Game of Doubleheader,1-0-0,100.0%,4.0,+2.5
With Rest Advantage,1-0-0,100.0%,6.0,+4.5
1 Day Off,5-1-0,83.3%,1.0,0.0
As Home Underdog,4-1-0,80.0%,0.8,+2.3
As Home Team,17-9-0,65.4%,0.1,-0.8
As Home Favorite,13-8-0,61.9%,-0.1,-1.6
As Favorite,14-9-0,60.9%,-0.2,-1.7
After A Win,16-11-0,59.3%,0.0,0.0
Non-League Games,7-5-0,58.3%,0.8,+0.8
Division Games,10-8-0,55.6%,-0.5,-1.2
All Games,28-23-0,54.9%,0.1,+0.2
Regular Season Games,28-23-0,54.9%,0.1,+0.2
Non-Division Games,18-15-0,54.5%,0.4,+1.0
With Equal Rest,26-22-0,54.2%,0.0,+0.1
League Games,21-18-0,53.8%,-0.2,0.0
After A Loss,12-11-0,52.2%,0.3,+0.7
No Rest,22-21-0,51.2%,-0.1,+0.3
As Underdog,14-14-0,50.0%,0.3,+1.8
As Away Favorite,1-1-0,50.0%,-1.0,-2.5
With Rest Disadvantage,1-1-0,50.0%,-0.5,+1.0
As Away Team,11-14-0,44.0%,0.1,+1.3
As Away Underdog,10-13-0,43.5%,0.2,+1.7
4+ Days Off,0-1-0,0.0%,-3.0,-4.5
