Rank,Player,Team,Pos,Value
1,Tarik Skubal,Detroit Tigers,P,3.0%
2,Joe Ryan,Minnesota Twins,P,3.0%
3,Nathan Eovaldi,Texas Rangers,P,3.5%
4,Bryan Woo,Seattle Mariners,P,3.6%
5,Matthew Liberatore,St. Louis Cardinals,P,3.8%
6,Nick Lodolo,Cincinnati Reds,P,4.1%
7,Zack Littell,Tampa Bay Rays,P,4.2%
8,Tomoyuki Sugano,Baltimore Orioles,P,4.3%
8,Kyle Freeland,Colorado Rockies,P,4.3%
10,Chris Bassitt,Toronto Blue Jays,P,4.5%
11,Spencer Schwellenbach,Atlanta Braves,P,4.8%
12,Zack Wheeler,Philadelphia Phillies,P,4.9%
13,JP Sears,Sacramento Athletics,P,5.0%
14,Jameson Taillon,Chicago Cubs,P,5.2%
15,Davis Martin,Chicago White Sox,P,5.5%
16,Jacob deGrom,Texas Rangers,P,5.5%
17,Nick Martinez,Cincinnati Reds,P,5.7%
18,Bailey Ober,Minnesota Twins,P,5.7%
19,Sonny Gray,St. Louis Cardinals,P,5.7%
20,Antonio Senzatela,Colorado Rockies,P,5.9%
21,Brandon Pfaadt,Arizona Diamondbacks,P,5.9%
22,Kevin Gausman,Toronto Blue Jays,P,6.0%
23,Max Fried,New York Yankees,P,6.0%
24,Matthew Boyd,Chicago Cubs,P,6.1%
25,Dean Kremer,Baltimore Orioles,P,6.2%
26,Chris Sale,Atlanta Braves,P,6.3%
27,Logan Webb,San Francisco Giants,P,6.4%
28,Merrill Kelly,Arizona Diamondbacks,P,6.5%
29,Michael Lorenzen,Kansas City Royals,P,6.6%
29,Paul Skenes,Pittsburgh Pirates,P,6.6%
31,Hunter Brown,Houston Astros,P,6.7%
32,Seth Lugo,Kansas City Royals,P,6.8%
33,Michael Wacha,Kansas City Royals,P,6.8%
34,Mitch Keller,Pittsburgh Pirates,P,6.8%
35,Jake Irvin,Washington Nationals,P,6.8%
36,Jonathan Cannon,Chicago White Sox,P,7.2%
37,Aaron Nola,Philadelphia Phillies,P,7.3%
38,Kris Bubic,Kansas City Royals,P,7.4%
39,Max Meyer,Miami Marlins,P,7.4%
40,Jesus Luzardo,Philadelphia Phillies,P,7.4%
41,Framber Valdez,Houston Astros,P,7.5%
41,Andre Pallante,St. Louis Cardinals,P,7.5%
43,Michael King,San Diego Padres,P,7.6%
44,Nick Pivetta,San Diego Padres,P,7.6%
45,Ryan Pepiot,Tampa Bay Rays,P,7.6%
45,MacKenzie Gore,Washington Nationals,P,7.6%
47,Luis Severino,Sacramento Athletics,P,7.8%
48,Tanner Bibee,Cleveland Guardians,P,8.0%
49,Kyle Hendricks,Los Angeles Angels,P,8.1%
50,Yoshinobu Yamamoto,Los Angeles Dodgers,P,8.1%
51,Tyler Anderson,Los Angeles Angels,P,8.1%
52,Cristopher Sanchez,Philadelphia Phillies,P,8.2%
53,Dylan Cease,San Diego Padres,P,8.4%
53,Garrett Crochet,Boston Red Sox,P,8.4%
55,Luis Castillo,Seattle Mariners,P,8.4%
56,Bailey Falter,Pittsburgh Pirates,P,8.4%
57,Tyler Mahle,Texas Rangers,P,8.5%
58,Clay Holmes,New York Mets,P,8.8%
59,Chris Paddack,Minnesota Twins,P,8.8%
59,Freddy Peralta,Milwaukee Brewers,P,8.8%
61,Will Warren,New York Yankees,P,8.9%
62,Shane Baz,Tampa Bay Rays,P,9.1%
63,Andrew Heaney,Pittsburgh Pirates,P,9.1%
64,David Peterson,New York Mets,P,9.1%
65,Justin Verlander,San Francisco Giants,P,9.3%
65,Jeffrey Springs,Sacramento Athletics,P,9.3%
67,Jose Berrios,Toronto Blue Jays,P,10.0%
68,Ronel Blanco,Houston Astros,P,10.1%
69,Carlos Rodon,New York Yankees,P,10.2%
70,Zac Gallen,Arizona Diamondbacks,P,10.3%
71,Taj Bradley,Tampa Bay Rays,P,10.3%
72,Jack Kochanowicz,Los Angeles Angels,P,10.4%
73,Mitchell Parker,Washington Nationals,P,10.5%
74,Erick Fedde,St. Louis Cardinals,P,10.6%
75,Kodai Senga,New York Mets,P,10.8%
76,Jose Soriano,Los Angeles Angels,P,10.8%
77,Luis Ortiz,Cleveland Guardians,P,10.9%
78,Yusei Kikuchi,Los Angeles Angels,P,11.1%
79,Robbie Ray,San Francisco Giants,P,11.5%
80,Grant Holmes,Atlanta Braves,P,11.8%
