Rank,Player,Team,Pos,Value
1,Tarik Skubal,Detroit Tigers,P,70.7%
2,Kyle Freeland,Colorado Rockies,P,69.5%
3,Bryan Woo,Seattle Mariners,P,69.4%
4,Zack Littell,Tampa Bay Rays,P,68.3%
5,Matthew Liberatore,St. Louis Cardinals,P,68.1%
6,Jameson Taillon,Chicago Cubs,P,68.0%
7,Kris Bubic,Kansas City Royals,P,67.9%
8,Kevin Gausman,Toronto Blue Jays,P,67.7%
9,Spencer Schwellenbach,Atlanta Braves,P,67.4%
10,Jacob deGrom,Texas Rangers,P,67.3%
11,Chris Sale,Atlanta Braves,P,67.1%
12,Dean Kremer,Baltimore Orioles,P,66.7%
13,Jake Irvin,Washington Nationals,P,66.7%
13,Nathan Eovaldi,Texas Rangers,P,66.7%
15,Joe Ryan,Minnesota Twins,P,66.6%
16,David Peterson,New York Mets,P,66.5%
17,Zack Wheeler,Philadelphia Phillies,P,66.5%
18,Bailey Ober,Minnesota Twins,P,66.3%
19,Mitch Keller,Pittsburgh Pirates,P,66.3%
20,Nick Lodolo,Cincinnati Reds,P,66.3%
21,Matthew Boyd,Chicago Cubs,P,66.1%
22,Chris Bassitt,Toronto Blue Jays,P,66.0%
23,Garrett Crochet,Boston Red Sox,P,66.0%
24,Logan Webb,San Francisco Giants,P,65.8%
25,Shane Baz,Tampa Bay Rays,P,65.7%
26,Sonny Gray,St. Louis Cardinals,P,65.6%
27,Aaron Nola,Philadelphia Phillies,P,65.6%
28,Nick Pivetta,San Diego Padres,P,65.3%
29,JP Sears,Sacramento Athletics,P,65.3%
30,Justin Verlander,San Francisco Giants,P,65.1%
31,Tyler Mahle,Texas Rangers,P,65.0%
32,Framber Valdez,Houston Astros,P,65.0%
33,Michael Wacha,Kansas City Royals,P,64.9%
34,Mitchell Parker,Washington Nationals,P,64.8%
35,Luis Severino,Sacramento Athletics,P,64.7%
36,Seth Lugo,Kansas City Royals,P,64.7%
37,Michael Lorenzen,Kansas City Royals,P,64.6%
38,Kyle Hendricks,Los Angeles Angels,P,64.6%
39,Andrew Heaney,Pittsburgh Pirates,P,64.6%
40,Ryan Pepiot,Tampa Bay Rays,P,64.5%
41,Paul Skenes,Pittsburgh Pirates,P,64.5%
42,Tyler Anderson,Los Angeles Angels,P,64.5%
43,Max Meyer,Miami Marlins,P,64.4%
44,Hunter Brown,Houston Astros,P,64.3%
45,Jesus Luzardo,Philadelphia Phillies,P,64.2%
46,Merrill Kelly,Arizona Diamondbacks,P,64.2%
47,Luis Castillo,Seattle Mariners,P,64.2%
48,Brandon Pfaadt,Arizona Diamondbacks,P,64.2%
49,MacKenzie Gore,Washington Nationals,P,64.0%
50,Robbie Ray,San Francisco Giants,P,64.0%
50,Max Fried,New York Yankees,P,64.0%
52,Cristopher Sanchez,Philadelphia Phillies,P,63.9%
53,Jose Berrios,Toronto Blue Jays,P,63.8%
54,Dylan Cease,San Diego Padres,P,63.7%
55,Luis Ortiz,Cleveland Guardians,P,63.6%
56,Davis Martin,Chicago White Sox,P,63.5%
57,Tomoyuki Sugano,Baltimore Orioles,P,63.5%
58,Jonathan Cannon,Chicago White Sox,P,63.4%
59,Chris Paddack,Minnesota Twins,P,63.3%
60,Jack Kochanowicz,Los Angeles Angels,P,63.3%
61,Yusei Kikuchi,Los Angeles Angels,P,63.2%
62,Ronel Blanco,Houston Astros,P,63.2%
63,Tanner Bibee,Cleveland Guardians,P,63.1%
64,Nick Martinez,Cincinnati Reds,P,63.0%
65,Bailey Falter,Pittsburgh Pirates,P,63.0%
66,Clay Holmes,New York Mets,P,62.9%
67,Yoshinobu Yamamoto,Los Angeles Dodgers,P,62.8%
68,Carlos Rodon,New York Yankees,P,62.6%
69,Antonio Senzatela,Colorado Rockies,P,62.6%
70,Jeffrey Springs,Sacramento Athletics,P,62.4%
71,Taj Bradley,Tampa Bay Rays,P,62.3%
72,Grant Holmes,Atlanta Braves,P,61.5%
73,Michael King,San Diego Padres,P,61.3%
74,Erick Fedde,St. Louis Cardinals,P,61.1%
75,Kodai Senga,New York Mets,P,60.9%
76,Will Warren,New York Yankees,P,60.9%
77,Zac Gallen,Arizona Diamondbacks,P,60.8%
78,Jose Soriano,Los Angeles Angels,P,60.6%
79,Freddy Peralta,Milwaukee Brewers,P,60.4%
80,Andre Pallante,St. Louis Cardinals,P,60.3%
